"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"link";"indicio_dependencia";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"11";"SP";"COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";27333533820,46;3121267063,11;"SIM";"SIM";"SIM";922666,75;"Sim";12299;5389598757,35;2995677980,41;323823732,15;0;0;0;0;7538442667,31;"https://ri.sabesp.com.br/governanca-corporativa/carta-de-governanca/";"não";"São Paulo";"Sudeste";TRUE;FALSE;323823732,15
"12";"SP";"DESENVOLVIMENTO RODOVIÁRIO SA EM LIQUIDAÇÃO";"EM LIQUIDAÇÃO";"TRANSPORTE";"EMPRESA PÚBLICA";"Dependente";-1131236649,51;-526188724,88;"NÃO";"SIM";"NÃO";321282,58;"Não";293;0;68459845,95;0;116294711,85;119033957,8;0;0;1862660103,34;NA;"não";"São Paulo";"Sudeste";FALSE;FALSE;-116294711,85
"13";"SP";"DESENVOLVE SP  AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO SA";"ATIVA";"FINANCEIRO";"EMPRESA PÚBLICA";"Não Dependente";3386063383,51;202682442,6;"SIM";"SIM";"SIM";511805,8;"Sim";143;0;49022161,53;105423235,55;0;0;1e+09;1e+09;3156469427,02;"https://www.desenvolve sp.com.br/institucional/transparencia/prestacao-de-contas/carta-anual-de-politicas-publicas-e-governanca-corporativa/";"não";"São Paulo";"Sudeste";TRUE;FALSE;-894576764,45
"14";"SP";"EMPRESA METROPOLITANA DE ÁGUAS E ENERGIA SA";"ATIVA";"ENERGIA";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";1124182161,5;68015030,32;"SIM";"SIM";"SIM";503514,14;"Sim";426;74302742,21;127675565,94;11544575,1;0;0;0;0;104991280,67;"https://ri.emae.com.br/Download.aspx?Arquivo=0+DSOyVYPacq/Zelbvd6lw==";"não";"São Paulo";"Sudeste";TRUE;FALSE;11544575,1
"15";"SP";"EMPRESA METROPOLITANA DE TRANSPORTES URBANOS DE SÃO PAULO SA";"ATIVA";"TRANSPORTE";"EMPRESA PÚBLICA";"Não Dependente";2108707654,17;15911566,94;"SIM";"SIM";"SIM";412269,32;"Sim";475;135210294,72;102721765,45;0;0;0;51531000;135210000;2408892663,13;"relatorio-integrado-22.pdf (emtu.sp.gov.br)";"não";"São Paulo";"Sudeste";TRUE;FALSE;-51531000
"16";"SP";"INSTITUTO DE PESQUISAS TECNOLÓGICAS DO ESTADO DE SÃO PAULO SA";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"EMPRESA PÚBLICA";"Dependente";87552151,11;-19842082,77;"SIM";"SIM";"SIM";483727,81;"Não";613;1180837,59;148791963,52;0;100508482,6;98943128,71;1180837,59;156282;288352918;"ipt.br/institucional/governanca";"não";"São Paulo";"Sudeste";TRUE;FALSE;-101689320,19
"17";"SE";"Sergipe Gás SA";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";157484667,56;47071493,16;"SIM";"SIM";"NÃO";348111,92;"Sim";81;14466010,05;21554381,57;4354141,67;0;0;0;0;40805855,67;NA;"não";"Sergipe";"Nordeste";FALSE;FALSE;4354141,67
"18";"SE";"Companhia Estadual de Habitação e Obras Públicas";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";105080861,98;-1848815,28;"SIM";"SIM";"NÃO";418286,73;"Não";196;64134,6;29653024,78;0;34119125,3;28118026,17;0;0;515936758,6;NA;"não";"Sergipe";"Nordeste";FALSE;FALSE;-34119125,3
"19";"SE";"Companhia de Desenvolvimento Economico de Sergipe";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";220369537;16864371;"SIM";"SIM";"NÃO";426914;"Não";171;24762273;23594801;0;0;41090247,13;0;0;118019938;NA;"não";"Sergipe";"Nordeste";FALSE;FALSE;0
"20";"SE";"Companhia de Desenvolvimento de Recursos Hídricos e Irrigação de Sergipe";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-15090088,68;-194207,18;"SIM";"SIM";"NÃO";241361,87;"Não";309;0;50515574,57;0;37112659,5;54942543,83;0;0;96690083,2;NA;"não";"Sergipe";"Nordeste";FALSE;FALSE;-37112659,5
"21";"SE";"Companhia de Saneamento de Sergipe";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";1865226376;44903005;"SIM";"SIM";"NÃO";741978,91;"Não";1599;183824989;284024230;0;0;0;64540351;76791256,32;1,302e+09;"https://transparencia.deso-se.com.br/";"não";"Sergipe";"Nordeste";FALSE;FALSE;-64540351
"22";"SE";"Empresa de Desenvolvimento Sustentavel do Estado de Sergipe";"ATIVA";"DESENVOLVIMENTO REGIONAL";"EMPRESA PÚBLICA";"Dependente";-18422,63;226071,34;"SIM";"SIM";"NÃO";216469,8;"Não";57;0;8202353,65;0;8579528,51;8623702,84;0;0;2395568,41;NA;"não";"Sergipe";"Nordeste";FALSE;FALSE;-8579528,51
"23";"SE";"Banco do Estado de Sergipe SA";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";595556465,34;75512430,16;"SIM";"SIM";"SIM";693838,85;"Sim";1398;16797601,17;234129304,27;14349974,97;0;0;0;0;461033100;"https://ri.banese.com.br/governanca-corporativa/carta-anual-de-governanca/";"não";"Sergipe";"Nordeste";TRUE;FALSE;14349974,97
"24";"SE";"Empresa Sergipana de Turismo SA";"ATIVA";"TURISMO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";8648178,03;26991,9;"SIM";"SIM";"NÃO";518358,49;"Não";40;0;4116951,86;0;0;0;0;0;34550951;"https://www.se.gov.br/emsetur/emsetur_transparencia";"não";"Sergipe";"Nordeste";FALSE;FALSE;0
"25";"SE";"Empresa Sergipana de Tecnologia da Informação";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"EMPRESA PÚBLICA";"Dependente";5473970,25;619184,57;"SIM";"SIM";"NÃO";259682,6;"Não";99;260123;7269155,44;0;0;0;0;0;8775120,96;NA;"não";"Sergipe";"Nordeste";FALSE;FALSE;0
"26";"SE";"Empresa de Desenvolvimento Agropecuário de Sergipe";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";-39363302,9;3141501,25;"SIM";"SIM";"NÃO";273602,52;"Não";503;2768162,22;47904693,58;0;54195241,08;56717540,78;0;0;37572872,11;"https://www.emdagro.se.gov.br";"não";"Sergipe";"Nordeste";FALSE;FALSE;-54195241,08
"27";"SE";"Imprensa Oficial de Sergipe";"ATIVA";"COMUNICAÇÃO";"EMPRESA PÚBLICA";"Não Dependente";2482874,44;416517,23;"SIM";"SIM";"NÃO";21848,52;"Não";69;0;4195981,19;0;0;0;0;0;9e+06;NA;"não";"Sergipe";"Nordeste";FALSE;FALSE;0
"28";"SE";"Zona de Processamento de Exportação de Sergipe";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";10751,01;561,52;"SIM";"SIM";"NÃO";0;"Não";0;0;0;0;0;0;0;0;83650,15;NA;"não";"Sergipe";"Nordeste";FALSE;FALSE;0
"29";"SC";"COMPANHIA DE HABITAÇÃO DO ESTADO DE SANTA CATARINA";"EM LIQUIDAÇÃO";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-29328355;-9084027;"NÃO";"SIM";"NÃO";234047;"Não";25;0;6358380;0;4887003;3808289,65;0;0;32300207;NA;"não";"Santa Catarina";"Sul";FALSE;FALSE;-4887003
"30";"SC";"Companhia Integrada de Desenvolvimento Agrícola de Santa Catarina";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";-18072802,06;-15059502,47;"SIM";"SIM";"NÃO";256464,47;"Não";1405;26111393,99;230659287,77;0;231984797;195881081,87;0;0;42408423,68;"https://www.cidasc.sc.gov.br/wp-content/uploads/2022/09/CAPP-2022.pdf";"não";"Santa Catarina";"Sul";FALSE;FALSE;-231984797
"31";"SC";"EMPRESA DE PESQUISA AGROPECUÁRIA E EXTENSÃO RURAL DE SANTA CATARINA";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";-25343517;-12140203;"SIM";"SIM";"NÃO";489939,82;"Não";1679;25125721;456587860,95;0;432446310;365207403,45;0;0;169781641,53;"https://transparencia.epagri.sc.gov.br/?page_id=919";"não";"Santa Catarina";"Sul";FALSE;FALSE;-432446310
"32";"SC";"SANTA CATARINA TURISMO SA";"EM LIQUIDAÇÃO";"TURISMO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";274080,95;-233755,99;"NÃO";"SIM";"NÃO";200806;"Não";31;0;4712741,07;0;0;0;0;0;3528671;NA;"não";"Santa Catarina";"Sul";FALSE;FALSE;0
"33";"SC";"AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA SA";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";816048956,96;70332323,71;"SIM";"SIM";"SIM";698689,55;"Não";122;1219764,55;43993612,01;0;0;0;61500000;102500003;669705000;"http://transparencia.badesc.gov.br/gestaoEstadual/cartaGovernanca";"não";"Santa Catarina";"Sul";TRUE;FALSE;-61500000
"34";"SC";"BESCOR BESC CORRETORA DE SEGUORS E ADMINISTRADORA DE BENS";"EM LIQUIDAÇÃO";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-2259815,81;60316,54;"NÃO";"SIM";"NÃO";105548,04;"Não";3;0;295517,28;0;0;0;1494603,19;42000;4774650,18;NA;"não";"Santa Catarina";"Sul";FALSE;FALSE;-1494603,19
"35";"SC";"Centrais de Abastecimento de Santa Catarina";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";11089772,88;1314482,82;"SIM";"SIM";"NÃO";15096,2;"Não";35;747343,69;2492830,18;0;0;0;0;0;12735232,08;NA;"não";"Santa Catarina";"Sul";FALSE;FALSE;0
"36";"SC";"Centrais Elétricas de Santa Catarina S A";"ATIVA";"ENERGIA";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";2883176000;540562000;"SIM";"SIM";"SIM";616091,08;"Sim";7858;1325391910;913269000;27412425,96;0;0;0;0;2,48e+09;NA;"não";"Santa Catarina";"Sul";TRUE;FALSE;27412425,96
"37";"SC";"CENTRO DE INFORMATICA E AUTOMAÇÃO DO ESTADO DE SC SA";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"EMPRESA PÚBLICA";"Não Dependente";59701327,06;-3500955,21;"SIM";"SIM";"NÃO";522152,2;"Não";366;8863334,88;114463001,88;0;0;0;0;0;66288995;"http://transparencia.ciasc.sc.gov.br/ciasc/gestao/governanca/carta-anual-de-politicas-publicas-e-governanca-corporativa/181-ciasc-carta-anual-de-poli-ticas-pu-blicas-e-governanc-a-corporativa-2022/file";"não";"Santa Catarina";"Sul";FALSE;FALSE;0
"38";"SC";"Companhia Catarinense de Águas e Saneamento";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";1860402;91990123;"SIM";"SIM";"SIM";631212;"Não";3199;533260470;502498685;22056293;0;0;82702237;130248792,44;690188133;"https://ri.casan.com.br/governanca-corporativa/carta-anual-de-politicas-publicas-e-governanca-corporativa/";"não";"Santa Catarina";"Sul";TRUE;FALSE;-60645944
"39";"SC";"Companhia de Distritos Industriais de Santa Catarina";"EM LIQUIDAÇÃO";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";0;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;202096,17;0;NA;"não";"Santa Catarina";"Sul";FALSE;FALSE;0
"40";"SC";"COMPANHIA HIDROMINERAL CALDAS DA IMPERATRIZ";"ATIVA";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";3091889,16;-2497522,37;"SIM";"SIM";"NÃO";61904,62;"Não";62;539297,92;3252901,89;0;0;0;0;0;1616016,74;NA;"não";"Santa Catarina";"Sul";FALSE;FALSE;0
"41";"SC";"Administradora da Zona de Processamento de Exportação SAIAZPE";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";251808,97;1269545,02;"SIM";"SIM";"NÃO";0;"Não";2;0;48277;0;0;0;2e+06;111131,92;21370426,24;NA;"não";"Santa Catarina";"Sul";FALSE;FALSE;-2e+06
"42";"SC";"Santa Catarina Participação e Investimentos SA";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-7977258481,62;-77524,23;"SIM";"SIM";"SIM";0;"Não";0;0;0;0;0;0;0;0;82632889,27;NA;"não";"Santa Catarina";"Sul";TRUE;FALSE;0
"43";"SC";"SAPIENS PARQUE SA";"ATIVA";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";399893989,82;17776881,95;"SIM";"SIM";"NÃO";84000;"Não";18;0;1448260,49;0;0;0;235000;7454850,39;323053113,06;NA;"não";"Santa Catarina";"Sul";FALSE;FALSE;-235000
"44";"SC";"SC PARTICIPACOES E PARCERIAS SA  SCPAR";"ATIVA";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";199421170,61;13581644,16;"SIM";"SIM";"SIM";295465,59;"Não";40;1725906,16;8076952,64;0;0;0;5528686,28;3807394,34;5528686,28;NA;"não";"Santa Catarina";"Sul";TRUE;FALSE;-5528686,28
"45";"SC";"BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL";"ATIVA";"FINANCEIRO";"EMPRESA PÚBLICA";"Não Dependente";3838304897,18;449591156,63;"SIM";"SIM";"SIM";741447,19;"Sim";457;5811947;207496738,56;0;0;0;0;0;1971507000;NA;"não";"Santa Catarina";"Sul";TRUE;FALSE;0
"46";"RR";"AGENCIA DE FOMENTO DO ESTADO DE RORAIMA SA";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";12611057,23;345000;"SIM";"SIM";"NÃO";301275;"Não";33;0;6599024,07;0;7493451,22;5390826,89;0;5259095,11;16164393,11;"https://desenvolve.rr.gov.br/index.php/downloads";"não";"Roraima";"Norte";FALSE;FALSE;-7493451,22
"47";"RR";"COMPANHIA DE ÁGUAS E ESGOTOS DE RORAIMA CAER";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-630509735,8;46682516,51;"SIM";"SIM";"NÃO";407583,84;"Não";919;22141377,33;81740815,41;0;0;0;21500000;0;68710883,62;NA;"não";"Roraima";"Norte";FALSE;FALSE;-21500000
"48";"RR";"COMPANHIA ENERGÉTICA DE RORAIMA  CERR";"EM LIQUIDAÇÃO";"ENERGIA";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-27665870,01;-13775134,35;"SIM";"SIM";"SIM";309000;"Não";246;0;42663646,18;0;85965986,64;15099888,09;0;0;1313101397,05;"https://www.imprensaoficial.rr.gov.br/app/_visualizar-doe/";"não";"Roraima";"Norte";TRUE;FALSE;-85965986,64
"49";"RR";"COMPANHIA DE DESENVOLVIMENTO DE RORAIMA  CODESAIMA";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";89449539,18;2954332,6;"SIM";"SIM";"NÃO";278100;"Não";264;0;23046046,11;0;53523112,96;24106938,57;0;0;533496172,04;NA;"não";"Roraima";"Norte";FALSE;FALSE;-53523112,96
"50";"RR";"RÁDIO RORAIMA";"ATIVA";"COMUNICAÇÃO";"EMPRESA PÚBLICA";"Dependente";-958380,88;-697762,86;"SIM";"NÃO";"SIM";130000;"Não";71;0;3876512,55;0;0;5643493,91;0;0;8e+05;NA;"não";"Roraima";"Norte";FALSE;FALSE;0
"51";"RO";"BANCO DO ESTADO DE RONDONIA SA";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";0;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"não";"Rondônia";"Norte";FALSE;FALSE;0
"52";"RO";"COMPANHIA DE DESENVOLVIMENTO URBANO E RURAL DE RONDONIA";"EM LIQUIDAÇÃO";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";0;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"não";"Rondônia";"Norte";FALSE;FALSE;0
"53";"RO";"COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DE RONDONIA";"EM LIQUIDAÇÃO";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";0;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"não";"Rondônia";"Norte";FALSE;FALSE;0
"54";"RO";"COMPANHIA DE MINERAÇÃO DE RONDÔNIA  CMR";"ATIVA";"MINERAÇÃO";"EMPRESA PÚBLICA";"Não Dependente";1841778478,04;948967,66;"SIM";"SIM";"NÃO";269745,32;"Não";22;93770;2232844,9;0;0;0;0;0;25988034,1;"https://transparencia.ro.gov.br";"não";"Rondônia";"Norte";FALSE;FALSE;0
"55";"RO";"SOCIEDADE DE PORTOS E HIDROVIAS DO ESTADO DE RONDONIASOPH";"ATIVA";"PORTOS E HIDROVIAS";"EMPRESA PÚBLICA";"Não Dependente";19225722,1;7456940,46;"SIM";"SIM";"NÃO";343022,48;"Não";78;1254504,76;12887374,79;0;7e+06;0;7e+06;0;2700000;NA;"sim";"Rondônia";"Norte";FALSE;FALSE;-1,4e+07
"56";"RO";"COMPANHIA RONDONIENSE DE GÁS  RONGÁS";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";1727624,59;-359338,27;"SIM";"SIM";"NÃO";144000;"Não";10;0;308504,06;0;0;0;0;170000;1332478;NA;"não";"Rondônia";"Norte";FALSE;FALSE;0
"57";"RO";"COMPANHIA DE ÁGUA E ESGOTO DE RONDÔNIA CAERD";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-1560389673;-88267496;"SIM";"SIM";"NÃO";412765,15;"Não";701;93770;102839649,66;0;0;2341937;0;0;182631833;"https://transparencia.caerd-ro.com.br/governanca";"não";"Rondônia";"Norte";FALSE;FALSE;0
"58";"RJ";"AGÊNCIA DE FOMENTO DO ESTADO DO RJ";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";521964424,55;22139892,96;"SIM";"SIM";"SIM";393590,68;"Sim";169;222945,79;35885534,68;0;0;0;0;0;511348505,68;"https://www.agerio.com.br/institucional/governanca-corporativa/";"não";"Rio de Janeiro";"Sudeste";TRUE;FALSE;0
"59";"RJ";"Empresa de Assistência Técnica e Extensão Rural do Etado do Rio de Janeiro  EMATERRIO";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";-253175,15;-193026,49;"SIM";"SIM";"NÃO";343133,02;"Não";567;1513362,66;106127851,59;0;104733451,65;97325294,49;0;0;8310646,55;NA;"não";"Rio de Janeiro";"Sudeste";FALSE;FALSE;-104733451,65
"60";"RJ";"BANCO DE DESENVOLVIMENTO DO ESTADO DO RJ SA EM LIQUIDAÇÃO";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";2069900,08;-542934,76;"NÃO";"NÃO";"NÃO";104000;"Não";3;0;349912,48;0;0;0;0;0;158907523,49;NA;"não";"Rio de Janeiro";"Sudeste";FALSE;FALSE;0
"61";"RJ";"CENTRAIS ELETRICAS FLUMINENSES SA CELF  EM LIQUIDAÇÃO ORDINÁRIA";"EM LIQUIDAÇÃO";"ENERGIA";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";82,93;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;676;400;0;0;9225032,81;NA;"sim";"Rio de Janeiro";"Sudeste";FALSE;FALSE;-676
"62";"RJ";"DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS DO EST DO RJ SA  EM LIQUIDAÇÃO ORDINÁRIA";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";696458,59;15451,91;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;11467019,41;NA;"não";"Rio de Janeiro";"Sudeste";FALSE;FALSE;0
"63";"RJ";"COMPANHIA FLUMINENSE DE TRENS URBANOS  FLUMITRENS EL";"EM LIQUIDAÇÃO";"TRANSPORTE";"EMPRESA PÚBLICA";"Dependente";-1203009634,57;-1085066892,72;"NÃO";"NÃO";"NÃO";0;"Não";5;0;407479,41;0;3017954,29;2800168,14;0;0;9430415,98;NA;"não";"Rio de Janeiro";"Sudeste";FALSE;FALSE;-3017954,29
"64";"RJ";"COMPANHIA DO METROPOLITANO DO RIO DE JANEIRO  METRÔ EL";"EM LIQUIDAÇÃO";"TRANSPORTE";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-656774906,56;-4719905383,55;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;13295,15;24690,77;0;0;4128123850,74;NA;"não";"Rio de Janeiro";"Sudeste";FALSE;FALSE;-13295,15
