Nome_estado,setor,emp,dep,sit,capital,desp_investimento,lucros,link,indicio_dependencia,tipo_indicio
Distrito Federal,TRANSPORTE,Companhia do Metropolitano do Distrito Federal - METRÔ,Dependente,ATIVA,2865848110.28,6832407.91,-78023880.17,https://metro.df.gov.br/?page_id=37077,NÃO,NA
Distrito Federal,HABITAÇÃO E URBANIZAÇÃO,Companhia Urbanizadora da Nova Capital do Brasil - NOVACAP,Dependente,ATIVA,26713076.28,0,3511742.06,nan,NÃO,NA
Distrito Federal,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Sociedade de Abastecimento de Brasília - SAB,Dependente,EM LIQUIDAÇÃO,16368857.49,0,237447.43,nan,NÃO,NA
Distrito Federal,TRANSPORTE,Sociedade de Transportes Coletivos de Brasília - TCB,Dependente,ATIVA,38386200,5946158,-4541813.01,tcb.df.gov.br,NÃO,NA
Espiríto Santo,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,CEASA- Centrais de Abastecimento do Espírito Santo S/A,Dependente,ATIVA,3159556.67,24313,162481,https://ceasa.es.gov.br/governanca-corporativa,NÃO,NA
Espiríto Santo,HABITAÇÃO E URBANIZAÇÃO,COHAB- Companhia de Habitação e Urbanização do Estado do Espírito Santo- em liquidação,Dependente,EM LIQUIDAÇÃO,4525000,0,24000,https://seger.es.gov.br/autarquias,NÃO,NA
Goiás,HABITAÇÃO E URBANIZAÇÃO,Agência Goiana de Habitação S/A - AGEHAB,Dependente,ATIVA,187256418.03,6603001.13,9454732.76,https://www.agehab.go.gov.br,NÃO,NA
Goiás,SAÚDE,Indústria Química do Estado de Goiás - IQUEGO,Dependente,ATIVA,239994409,44018.2,6283183.71,http://www.iquego.go.gov.br,NÃO,NA
Goiás,COMUNICAÇÃO,Goiás Telecomunicções S/A - GOIAS TELECOM,Dependente,ATIVA,8999950,24333.86,545705.22,https://goiastelecom.go.gov.br,NÃO,NA
Goiás,TRANSPORTE,Metrobus Transporte Coletivo S/A - METROBUS,Dependente,ATIVA,221702474.55,1458228.35,-391602.98,https://www.metrobus.go.gov.br,NÃO,NA
Goiás,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Companhia de Armazéns e Silos do Estado de Goiás S/A - CASEGO,Dependente,EM LIQUIDAÇÃO,82346820,0,6193251.42,http://www.administracao.go.gov.br,NÃO,NA
Goiás,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,"Empresa de Assistência Técnica, Extenção Rural e Pesquisa Agropecuária do Estado de Goiás - EMATER (Baixada em 16/11/2021)",Dependente,EM LIQUIDAÇÃO,3616565.41,0,1816651.8,http://www.administracao.go.gov.br,NÃO,NA
Goiás,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,Empresa Estadual de Processamento de Dados de Goiás - PRODAGO,Dependente,EM LIQUIDAÇÃO,23238721.38,0,-26791293.35,http://www.administracao.go.gov.br,NÃO,NA
Goiás,MINERAÇÃO,Metais de Goiás S/A - METAGO,Dependente,EM LIQUIDAÇÃO,54698546.73,0,-4537609.43,http://www.administracao.go.gov.br,NÃO,NA
Maranhão,GESTÃO DE ATIVOS,Maranhão Parcerias (MAPA),Dependente,ATIVA,75884853.01,624831,-58145058.41,https://mapa.ma.gov.br/programas-ou-campanhas/carta-anual,NÃO,NA
Maranhão,SAÚDE,Empresa Maranhense de Serviços Hospitalares (EMSERH),Dependente,ATIVA,1000000,0,156786744.64,http://www.emserh.ma.gov.br/,NÃO,NA
Mato Grosso,GÁS E DERIVADOS,COMPANHIA MATOGROSSENSE DE GÁS - MT GÁS,Dependente,ATIVA,8500007,0,-2806223,nan,NÃO,NA
Mato Grosso,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,CENTRAL DE ABASTECIMENTO DO ESTADO DE MATO GROSSO - CEASA MT,Dependente,ATIVA,751100,0,0,nan,NÃO,NA
Mato Grosso,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,EMPRESA MATOGROSSENSE DE PESQUISA. ASSISTÊNCIA E EXTENSÃO RURAL - EMPAER MT,Dependente,ATIVA,34889260.76,0,5238127.23,nan,NÃO,NA
Mato Grosso,MINERAÇÃO,COMPANHIA MATOGROSSENSE DE MINERAÇÃO - METAMAT,Dependente,ATIVA,61171276,0,-3647571,nan,NÃO,NA
Mato Grosso,GESTÃO DE ATIVOS,MT PARTICIPAÇÕES E PROJETOS S/A - MT PAR,Dependente,ATIVA,41200751.25,8897503.13,979243.19,nan,NÃO,NA
Mato Grosso,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,EMPRESA MATO-GROSSENSE DE TECNOLOGIA DA INFORMAÇÃO - MTI,Dependente,ATIVA,55880438.73,13450000,12109492.36,nan,NÃO,NA
Mato Grosso,SANEAMENTO,COMPANHIA DE SANEAMENTO DO ESTADO DE MATO GROSSO - SANEMAT,Dependente,EM LIQUIDAÇÃO,283557904,0,-24367492.93,nan,NÃO,NA
Mato Grosso do Sul,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,EMPRESA DE SERVIÇOS AGROPECUÁRIOS DE MS - AGROSUL,Dependente,EM LIQUIDAÇÃO,0,0,-60354984.43,nan,NÃO,NA
Mato Grosso do Sul,MINERAÇÃO,EMPRESA DE GESTÃO DE RECURSOS MINERAIS - MS MINERAL,Dependente,ATIVA,0,0,1140665.7,nan,NÃO,NA
Minas Gerais,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS - EMATER-MG,Dependente,ATIVA,48591258.98,6503758.07,5583348.88,https://www.emater.mg.gov.br/download.do?id=21592,NÃO,NA
Minas Gerais,COMUNICAÇÃO,EMPRESA MINEIRA DE COMUNICAÇÃO LTDA - EMC,Dependente,ATIVA,9115971.33,0,-676246.39,nan,NÃO,NA
Minas Gerais,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,EMPRESA DE PESQUISA AGROPECUÁRIA DE MINAS GERAIS - EPAMIG,Dependente,ATIVA,31596840,1579959.17,5007961.48,http://www.epamig.br/documentos-institucionais/,NÃO,NA
Paraná,HABITAÇÃO E URBANIZAÇÃO,Companhia de Habitação do Paraná - COHAPAR,Dependente,ATIVA,1355068585,83780694.84,-96683542.16,nan,NÃO,NA
Paraíba,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa Estadual de Pesquisa Agropecuária,Dependente,EM LIQUIDAÇÃO,1182563,0,661189,nan,NÃO,NA
Paraíba,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa de Assistência Técnica e Extensão Rural da Paraíba,Dependente,EM LIQUIDAÇÃO,3111.66,0,370067.82,nan,NÃO,NA
Paraíba,COMUNICAÇÃO,Empresa Paraibana de Comunicação,Dependente,ATIVA,14446242.61,569785.87,2141087.84,nan,NÃO,NA
Paraíba,TURISMO,Empresa Paraibana de Turismo S/A,Dependente,ATIVA,6451519.03,87636.28,-49311.15,https://www.pbtur.pb.gov.br/,NÃO,NA
Paraíba,TURISMO,PBTUR Hotéis S/A,Dependente,ATIVA,15790670.21,0,-891187.97,https://www.pbtur.pb.gov.br/,NÃO,NA
Paraíba,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Empresa Paraibana de Abastecimento e Serviços Agrícolas,Dependente,EM LIQUIDAÇÃO,15820227,0,0,nan,NÃO,NA
Paraíba,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa Paraibana de Pesquisa. Extensão Rural e Regularização Fundiária,Dependente,ATIVA,473250.35,1008647.97,714919.25,https://empaer.pb.gov.br/Sevicos,NÃO,NA
Paraíba,DESENVOLVIMENTO REGIONAL,Companhia de Desenvolvimento da Paraíba,Dependente,ATIVA,2000000,621300.78,23308248.17,nan,NÃO,NA
Paraíba,MINERAÇÃO,Companhia de Desenvolvimento de Recursos Minerais da Paraíba,Dependente,EM LIQUIDAÇÃO,73709,0,0,nan,NÃO,NA
Paraíba,SAÚDE,Laboratório Industrial Farmacêutico do Estado da Paraíba S/A,Dependente,ATIVA,201000,0,-537558.49,nan,NÃO,NA
Paraíba,HABITAÇÃO E URBANIZAÇÃO,Companhia Estadual de Habitação Popular,Dependente,ATIVA,237996459.2,5889942.46,360195,nan,NÃO,NA
Pará,DESENVOLVIMENTO REGIONAL,COMP. DE DESENVOLVIMENTO ECONÔMICO DO PARÁ,Dependente,ATIVA,22565720.65,1198803.05,1673398.68,https://www.codec.pa.gov.br/wp-content/uploads/2021/06/CARTA-ANUAL-DE-POL%C3%8DTICAS-P%C3%9ABLICAS-FINAL-compactado.pdf,NÃO,NA
Pará,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,CENTRAIS DE ABASTECIMENTO DO PARÁ S.A,Dependente,ATIVA,3833847.05,0,1471626.96,nan,NÃO,NA
Pará,HABITAÇÃO E URBANIZAÇÃO,COMPANHIA DE HABITAÇÃO DO ESTADO DO PARÁ,Dependente,ATIVA,89804780.66,3884658.87,353528.77,nan,NÃO,NA
Pará,PORTOS E HIDROVIAS,COMPANHIA DE PORTOS E HIDROVIAS DO ESTADO DO PARÁ,Dependente,ATIVA,2600000,51965870.2,41753006.75,nan,NÃO,NA
Pará,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL,Dependente,ATIVA,4000000,615771.34,3789908.17,https://www.emater.pa.gov.br/storage/app/media/4_%20CARTA%20ANUAL2022.pdf,NÃO,NA
Pará,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,EMPRESA DE PROCESSAMNETO DE DADOS,Dependente,ATIVA,29081412.99,21657505.46,0,nan,NÃO,NA
Pernambuco,HABITAÇÃO E URBANIZAÇÃO,COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS - CEHAB,Dependente,ATIVA,472970,64904245.04,-9751725,http://www.cehab.pe.gov.br/web/cehab/67,NÃO,NA
Pernambuco,TRANSPORTE,CONSORCIO DE TRANSPORTES DA REGIAO METROPOLITANA DO RECIFE - CTM,Dependente,ATIVA,575700,171666.83,-9516631.87,https://www.granderecife.pe.gov.br/sitegrctm/wp-content/uploads/2022/05/Carta-Anual.2022.pdf,NÃO,NA
Pernambuco,TURISMO,EMPRESA DE TURISMO DE PERNAMBUCO GOVERNADOR EDUARDO CAMPOS - EMPETUR,Dependente,ATIVA,72065680.99,73440.95,-6752486.8,http://www.setur.pe.gov.br/c/document_library/get_file?p_l_id=44898563&folderId=44901001&name=DLFE-516204.pdf,NÃO,NA
Pernambuco,COMUNICAÇÃO,EMPRESA PERNAMBUCO DE COMUNICAÇÃO S/A - EPC,Dependente,ATIVA,3488600,0,-797873.94,https://portalepc.com.br/wp-content/uploads/2022/04/Carta-Anual-de-Pol%C3%ADticas-P%C3%BAblicas-e-Governan%C3%A7a-Corporativa-2021.pdf,NÃO,NA
Pernambuco,TRANSPORTE,EMPRESA PERNAMBUCANA DE TRANSPORTE COLETIVO INTERMUNICIPAL - EPTI,Dependente,ATIVA,0,272043.58,1272052,https://www.epti.pe.gov.br/carta-anual-de-politicas-publicas-e-governanca-corporativa/,NÃO,NA
Pernambuco,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,INSTITUTO AGRONÔMICO DE PERNAMBUCO - IPA,Dependente,ATIVA,25601618,6876378.15,-2374982,https://site.ipa.br/transparencia/,NÃO,NA
Pernambuco,GESTÃO DE ATIVOS,PERNAMBUCO PARTICIPAÇÕES E INVESTIMENTOS S.A. - PERPART,Dependente,ATIVA,434913326.38,4719.5,5495691.59,https://www.perpart.pe.gov.br/wp-content/uploads/2022/04/Carta-Anual-de-Politicas-Publicas-e-Governanca-Corporat-iva-Perpart-2022.pdf,NÃO,NA
Piauí,PORTOS E HIDROVIAS,COMPANHIA DE TERMINAIS ALFANDEGADOS DO PIAUI - PORTO-PI,Dependente,ATIVA,97500,0,-1366464.65,nan,NÃO,NA
Piauí,TRANSPORTE,COMPANHIA METROPOLITANA DE TRANSPORTE PÚBLICO,Dependente,ATIVA,0,157560,1330593.53,nan,NÃO,NA
Piauí,GESTÃO DE ATIVOS,EMPRESA DE GESTÃO DE RECURSOS DO ESTADO DO PIAUÍ S/A.,Dependente,ATIVA,125885754.92,0,5591278.26,nan,NÃO,NA
Rio Grande do Norte,HABITAÇÃO E URBANIZAÇÃO,CEHAB - COMPANHIA ESTADUAL DE HABITACAO E DESENVOLVIMENTO URBANO,Dependente,ATIVA,0,1355089.62,-2145103.57,nan,NÃO,NA
Rio Grande do Norte,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Centrais de Abastecimento do Rio Grande do Norte S/A,Dependente,ATIVA,2165209,0,361239,http://adcon.rn.gov.br/ACERVO/ceasa/DOC/DOC000000000244794.PDF,NÃO,NA
Rio Grande do Norte,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,EMPRESA DE PESQUISA AGROPECUÁRIA DO RN - EMPARN,Dependente,ATIVA,863889,0,-646074.94,nan,NÃO,NA
Rio Grande do Norte,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,COMPANHIA DE PROCESSAMENTO DE DADOS DO RN - DATANORTE,Dependente,ATIVA,1954853,0,-13836878,nan,NÃO,NA
Rio Grande do Norte,TURISMO,EMPRESA POTIGUAR DE PROMOÇÃO TURÍSTICA S.A.,Dependente,ATIVA,3800000,0,-1082048.62,nan,NÃO,NA
Rio de Janeiro,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa de Assistência Técnica e Extensão Rural do Etado do Rio de Janeiro - EMATER-RIO,Dependente,ATIVA,8310646.55,12300,-314222.25,nan,NÃO,NA
Rio de Janeiro,TRANSPORTE,COMPANHIA FLUMINENSE DE TRENS URBANOS - FLUMITRENS E/L,Dependente,EM LIQUIDAÇÃO,9430415.98,0,-888816036.97,nan,NÃO,NA
Rio de Janeiro,TRANSPORTE,COMPANHIA DO METROPOLITANO DO RIO DE JANEIRO - METRÔ E/L,Dependente,EM LIQUIDAÇÃO,3808580170.05,66000,-4634255177.54,nan,NÃO,NA
Rio de Janeiro,SAÚDE,INSTITUTO VITAL BRAZIL S/A,Dependente,ATIVA,16024140.67,1703107.89,9582360,nan,NÃO,NA
Rio de Janeiro,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa de Pesquisa Agropecuária do Estado do Rio de Janeiro - Pesagro/RJ,Dependente,ATIVA,811974.32,129011.3,383537.34,nan,NÃO,NA
Rio de Janeiro,TRANSPORTE,Companhia Estadual de Engenharia de Transportes e Logística - CENTRAL-RJ,Dependente,ATIVA,1096356964.24,0,196274507.21,nan,NÃO,NA
Rio de Janeiro,HABITAÇÃO E URBANIZAÇÃO,COMPANHIA ESTADUAL DE HABITAÇÃO DO RIO DE JANEIRO,Dependente,ATIVA,242087910.54,67575513.05,-996141.96,nan,NÃO,NA
Rio de Janeiro,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Companhia de Armazéns e Silos do Estado do Rio de Janeiro,Dependente,ATIVA,1520887.26,0,-45047.19,nan,NÃO,NA
Rio de Janeiro,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,CEASA-RJ,Dependente,ATIVA,33788930.85,1960604.88,-231235.68,nan,NÃO,NA
Rio de Janeiro,DESENVOLVIMENTO REGIONAL,Companhia de Desenvolvimento Industrial do Estado do Rio de Janeiro,Dependente,ATIVA,32114375.34,0,-3970174.75,nan,NÃO,NA
Rio de Janeiro,TRANSPORTE,COMPANHIA DE TRANSPORTES SOBRE TRILHOS RJ,Dependente,ATIVA,5653397155.36,0,-190508341.57,nan,NÃO,NA
Rio de Janeiro,TURISMO,Companhia de Turismo do Estado do Rio de Janeiro - TurisRio,Dependente,ATIVA,8561991.97,0,226892,nan,NÃO,NA
Rio de Janeiro,HABITAÇÃO E URBANIZAÇÃO,Empresa de Obras Públicas do Estado do Rio de Janeiro,Dependente,ATIVA,2478567.69,0,-323475,nan,NÃO,NA
Rio de Janeiro,TRANSPORTE,Companhia de Desenvolvimento Rodoviário e Terminais do Estado do Rio de Janeiro,Dependente,ATIVA,16872235.78,0,-182413116.88,nan,NÃO,NA
Rio de Janeiro,TRANSPORTE,COMPANHIA DE TRANSPORTES COLETIVOS DO ESTADO DO RIO DE JANEIRO - CTC-RJ,Dependente,EM LIQUIDAÇÃO,70025960.79,0,-76204039.75,nan,NÃO,NA
Roraima,FINANCEIRO,AGENCIA DE FOMENTO DO ESTADO DE RORAIMA S/A,Dependente,ATIVA,5259095.11,0,174721.67,nan,NÃO,NA
Roraima,ENERGIA,COMPANHIA ENERGÉTICA DE RORAIMA - CERR,Dependente,EM LIQUIDAÇÃO,1313101397.05,0,-30248948.22,nan,NÃO,NA
Roraima,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,COMPANHIA DE DESENVOLVIMENTO DE RORAIMA - CODESAIMA,Dependente,ATIVA,533496172.04,293493.34,-37437458.92,nan,NÃO,NA
Roraima,COMUNICAÇÃO,RÁDIO RORAIMA,Dependente,ATIVA,800000,0,-158043.54,nan,NÃO,NA
Santa Catarina,HABITAÇÃO E URBANIZAÇÃO,COMPANHIA DE HABITAÇÃO DO ESTADO DE SANTA CATARINA - COHAB/SC,Dependente,EM LIQUIDAÇÃO,32300207,0,6418387.33,nan,NÃO,NA
Santa Catarina,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Companhia Integrada de Desenvolvimento Agrícola de Santa Catarina,Dependente,ATIVA,42408423.68,1360836.24,304261.3,http://www.cidasc.sc.gov.br/wp-content/uploads/2022/03/CARTA-ANUAL-DE-GOVERNAN%C3%87A-CORPORATIVA-CIDASC-2021-ULTIMA-VERS%C3%83O.docx.pdf,NÃO,NA
Santa Catarina,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,EMPRESA DE PESQUISA AGROPECUÁRIA E EXTENSÃO RURAL DE SANTA CATARINA,Dependente,ATIVA,175063963.93,11528375.58,-14266827.47,nan,NÃO,NA
Santa Catarina,TURISMO,SANTA CATARINA TURISMO S/A,Dependente,EM LIQUIDAÇÃO,3528671,0,5578,nan,NÃO,NA
Santa Catarina,OUTROS,BESCOR BESC CORRETORA DE SEGUORS E ADMINISTRADORA DE BENS,Dependente,EM LIQUIDAÇÃO,3639176.05,0,177766.63,nan,NÃO,NA
Santa Catarina,DESENVOLVIMENTO REGIONAL,Administradora da Zona de Processamento de Exportação S/A - IAZPE,Dependente,ATIVA,21259294.32,0,-125641.14,nan,NÃO,NA
Santa Catarina,OUTROS,SAPIENS PARQUE SA,Dependente,ATIVA,285386230,54723,8740977.95,nan,NÃO,NA
Sergipe,HABITAÇÃO E URBANIZAÇÃO,Companhia Estadual de Habitação e Obras Públicas,Dependente,ATIVA,515936758.6,33519,-4581497,nan,NÃO,NA
Sergipe,DESENVOLVIMENTO REGIONAL,Companhia de Desenvolvimento Economico de Sergipe,Dependente,ATIVA,118019938,8467936.98,12386665.47,https://codise.se.gov.br,NÃO,NA
Sergipe,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Companhia de Desenvolvimento de Recursos Hídricos e Irrigação de Sergipe,Dependente,ATIVA,96690083.2,0,-3318511.48,nan,NÃO,NA
Sergipe,DESENVOLVIMENTO REGIONAL,Empresa de Desenvolvimento Sustentavel do Estado de Sergipe,Dependente,ATIVA,2395568.41,0,-87755.36,https://www.pronese.se.gov.br/transparencia,NÃO,NA
Sergipe,TURISMO,Empresa Sergipana de Turismo SA,Dependente,ATIVA,34550951,0,313866.16,https://www.se.gov.br/emsetur/emsetur_transparencia,NÃO,NA
Sergipe,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,Empresa Sergipana de Tecnologia da Informação,Dependente,ATIVA,8775120.96,61217.99,721516.08,nan,NÃO,NA
Sergipe,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa de Desenvolvimento Agropecuário de Sergipe,Dependente,ATIVA,37572872.11,1340304.34,-33529035.52,https://www.emdagro.se.gov.br/,NÃO,NA
Sergipe,OUTROS,Companhia Administradora da Zona de Processamento de Exportação de Sergipe,Dependente,ATIVA,500000,0,147.43,nan,NÃO,NA
São Paulo,OUTROS,COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO - CETESB,Dependente,ATIVA,169574763.18,12488859,67239280.95,https://cetesb.sp.gov.br/balancos-patrimoniais,NÃO,NA
São Paulo,TRANSPORTE,COMPANHIA PAULISTA DE TRENS METROPOLITANOS - CPTM,Dependente,ATIVA,17529009420.09,420842877.72,-469383483.98,https://www.cptm.sp.gov.br/Governanca/BalancosDemonstrativos/Relat%C3%B3rio%20Integrado%20CPTM%202020.zip,NÃO,NA
São Paulo,PORTOS E HIDROVIAS,COMPANHIA DOCAS DE SÃO SEBASTIÃO,Dependente,ATIVA,17748161,0,-13485811,nan,NÃO,NA
São Paulo,TRANSPORTE,"DERSA - DESENVOLVIMENTO RODOVIÁRIO S/A ""EM LIQUIDAÇÃO""",Dependente,EM LIQUIDAÇÃO,1861792600.2,0,-191691968.39,nan,NÃO,NA
São Paulo,OUTROS,INSTITUTO DE PESQUISAS TECNOLÓGICAS DO ESTADO DE SÃO PAULO S/A - IPT,Dependente,ATIVA,268196636,156282,-1995300.27,nan,NÃO,NA
